,ID,Example_A,Example_B,Example_C,Example_D,Answer,Length,Label
11065,How_to_Sell_a_Haunted_House_-_Grady_Hendrix,"It clamped itself around her hand and squeezed so hard she felt blood pulse in her fingertips. Louise leapt to her feet and whatever it was came with her, a heavy lump clinging to the end of her arm, rippling and alive. It gave a single muscular pulse and slid a few inches up her wrist. Louise drew her hand back and flung her arm forward, hard, and her forearm got lighter and something flew across the room and thudded into the wall and bounced into the streetlights splash of light in the middle of the floor.","The creature wrapped itself tightly around her hand, gripping so firmly that she could feel her blood pumping in her fingers. Louise jumped up and the heavy, living mass came with her, clinging to the end of her arm and undulating. It flexed powerfully once and moved up her wrist a little. Louise pulled her hand back and swung her arm forcefully forward, lightening her forearm as something flew across the room, hitting the wall and landing in the illuminated patch on the floor.","The thing coiled around her hand and squeezed so intensely that she sensed her blood throbbing in her fingertips. Louise sprang to her feet and the bulky, animate lump came along, sticking to the end of her arm, rippling and pulsating. It gave one strong muscular contraction and slid up her wrist somewhat. Louise retracted her hand and flung her arm ahead vigorously, making her forearm lighter as something soared across the room, smacking the wall and bouncing into the circle of light on the floor.  ","The creature wrapped around her hand and compressed so tightly she felt her blood beating in her fingers. Louise jumped up and the heavy, living mass joined her, clinging to the end of her arm, undulating and alive. It pulsed powerfully once and moved up her wrist a bit. Louise pulled her hand back and swung her arm forcefully forward, lightening her forearm as something flew across the room, hitting the wall and landing in the pool of light on the floor.",A,small,0
12849,Happy_Place_-_Emily_Henry," No ones forcing you to stay! Sabrina says. If you want to go, go! Cleo looks down at her feet, a tiny fern growing up between the cracks in the sidewalk there, right between her sandals. Fine, she says. Kimmy and I will find a hotel for the night. Another cold laugh from Sabrina. So, what, youre going to consciously uncouple from our friendship? Im going to take some space, Cleo says. This is ridiculous, Sabrina replies. You wont find anywhere to stay on this entire coast. Cleos lips press tighter. Then well sleep in the guesthouse tonight. And then what? Sabrina says.","Sabrina tells Cleo that she doesn't have to stay if she doesn't want to. Cleo says that she and Kimmy will find a hotel for the night. Sabrina laughs coldly that they won't find anywhere on the coast. Cleo responds that they will sleep in the guesthouse, and when Sabrina asks what then, Cleo doesn't respond. ","Sabrina says Cleo doesn't need to stay if she wants to leave. Cleo says she and Kimmy will get a hotel room for the night. Sabrina laughs harshly that they won't find a place on the whole coastline. Cleo stubbornly insists they'll sleep in the guesthouse that night. When Sabrina asks what their plan is after that, Cleo doesn't answer.","Sabrina informs Cleo she can go if she wishes since no one is forcing her to stay. Cleo declares she and Kimmy will locate a hotel for the night. Sabrina chuckles frostily that they won't find any lodging on the entire coast. Cleo's lips tighten as she states they will sleep in the guesthouse tonight. When Sabrina questions what they'll do after that, Cleo doesn't reply.",A,medium,0
11536,The_Book_of_Beginnings_-_Sally_Page,"There are also smaller kindnesses mentioned, acts that would not cause so much as a ripple in the local news. Ruth putting her neighbour’s bins out when he had broken an ankle; helping a woman called Jill deal with scam phone calls (Jo smiles at the memory of Ruth dealing with just such a call in her shop), and walking Brendan’s Alsatian, Maximillian, when Brendan was recovering from his hernia operation.","Additionally, smaller acts of kindness are described, things that would not make even the smallest news story. Ruth taking her neighbor's trash bins out when he had a broken ankle; assisting a woman named Jill with handling fraudulent phone calls (Jo grins remembering Ruth managing one such call at her store), and walking Brendan's German Shepherd, Maximillian, while Brendan was healing from his hernia surgery.","There are also minor kind acts depicted, things that wouldn't cause even a tiny ripple in local reports. Ruth putting her neighbor's garbage cans out when he had a fractured ankle bone; helping a lady called Jill handle scam calls (Jo smiles thinking of Ruth taking care of one such call at her shop), and walking Brendan's Alsatian dog, Maximillian, when Brendan was getting better from his hernia operation.  ","Additionally, smaller thoughtful deeds are mentioned, acts that wouldn't make the smallest news story. Ruth taking her neighbor's trash bins out when he had a broken ankle bone; supporting a woman named Jill with dealing with fraudulent phone calls (Jo grins remembering Ruth handling one such call at her store), and walking Brendan's German Shepherd dog, Maximillian, while Brendan was recovering from his hernia surgery.",A,small,0
14817,Happy_Place_-_Emily_Henry,"Wyn kisses the top of my head. Michael and Lou exchange a look I cant read. Maybe theyve seen this before, I think. Maybe hes always like this with his girlfriends. But I dont really believe it. I am in that phase of love where youre sure no two people have ever felt this way before. And over those four days, I fall in love again. With Wyns family, with all the new pieces of him. I want to stay up late, digging through his old closet, where his mom stored his homemade stormtrooper costume. I want to sit for five hours in the woodshop, sawdust drifting in the air, while he recounts the fights he got into with Lous middle school bullies. I want to know where every single little white scar and divot carved into his permanently sunned skin came from. The one from when he braked too hard on his bike and went skidding down the road. The white specks on his elbow from the agitated horse that threw him on his grandfathers now-defunct ranch. The thin line where he split his lip on the corner of the fireplace as a toddler. I want to stockpile these pieces of him: the quilt his grandmother made him before he was born, his embarrassing preteen journals, his horrifying childhood drawings, the dent in his moms truck from when he hit a patch of ice and slid into a split rail at sixteen.","Wyn presses his lips to the top of my head. Michael and Lou share a glance that I am unable to interpret. Perhaps they have witnessed this behavior previously from him towards romantic partners. However, I do not genuinely believe that. I am in the stage of love where you are convinced no two individuals have ever experienced these feelings to this degree before. And throughout those four days, I become enamored again. With Wyn's family, with all the new aspects of him I am learning. I want to remain awake late into the night, rummaging through his old closet where his mother stored his homemade stormtrooper outfit. I want to sit for hours in the woodshop, sawdust suspended in the air, as he recounts the fights he engaged in with Lou's middle school tormentors. I want to understand the origin of every small white scar and indentation engraved into his permanently suntanned skin. The one from when he braked too forcefully on his bike and went skidding along the road. The white specks on his elbow from the temperamental horse that threw him on his grandfather's now-defunct ranch. The thin line where he split his lip on the fireplace corner as a toddler. I want to gather these fragments of him: the quilt his grandmother constructed for him before he was born, his embarrassing adolescent diaries, his upsetting childhood sketches, the dent in his mother's truck from when he hit a patch of ice and careened into a split rail fence at sixteen.","Wyn plants a kiss on the crown of my head. Michael and Lou trade an expression I'm not able to analyze. Perhaps they've been privy to this in the past from him with romantic interests. However, I'm skeptical that's the case. I'm in that time of love when you're convinced no two souls have ever experienced these emotions to this magnitude before. And during that four day period, I fall in love again. With Wyn's family, with all the new facets of him I'm discovering. I want to stay up late, rummaging through his old closet where his mom kept his homemade stormtrooper gear. I want to sit for hours in the woodshop, sawdust adrift in the air, as he chronicles the fights he engaged in with Lou's middle school harassers. I want to learn the origins of every small white blemish and notch embedded in his eternally tanned skin. The one from when he braked harshly on his bike and went skidding along the pavement. The white specks on his elbow from the short-tempered horse that threw him on his grandfather's now-shuttered ranch. The thin line where he split his lip on the fireplace edge as a toddler. I want to gather these pieces of him: the quilt his grandmother stitched for him before he was born, his cringeworthy adolescent writing, his disturbing childhood illustrations, the damage to his mom's truck from when he hit ice and careened into a split rail fence at sixteen.  ","Wyn pecks the crown of my head with his lips. Michael and Lou trade an expression I'm unable to decipher. Perhaps they've borne witness to this behavior previously between him and romantic interests. However, I don't genuinely believe so. I'm in that period of love when you're convinced no two people have ever experienced these feelings with such intensity before. And during that four day stretch, I fall in love again. With Wyn's family, with all the new aspects of him I'm uncovering. I want to stay up late, rifling through his old closet where his mom kept his homemade stormtrooper costume. I want to sit for hours in the woodshop, sawdust adrift in the air, as he details the altercations he engaged in with Lou's middle school tormentors. I want to understand the origins of every small white blemish and notch embedded into his eternally bronzed skin. The one from when he braked harshly on his bike and went skidding along the road. The white specks on his elbow from the ill-tempered horse that threw him on his grandfather's now-defunct ranch. The thin line where he split his lip on the fireplace corner as a toddler. I want to gather these fragments of him: the quilt his grandmother stitched for him before he was born, his cringeworthy adolescent writing, his disturbing childhood drawings, the damage to his mom's truck from when he hit ice and slid into a split rail fence at sixteen.",A,large,0
10694,Cold_People_-_Tom_Rob_Smith,"She wished that she could love him in the same way that he loved her, except she didnt know how. * * * After theyd travelled across a wilderness too desolate and remote to sustain any human colony, there appeared on the horizon, like an acid-trip mirage, a collection of some of humanitys most famous historic monuments. This area was known as Landmark Plateau.","She wanted to be able to feel the same depth of love for him that he evidently felt for her, but she was unsure how to make that happen. After journeying through a barren wasteland too inhospitable to support any permanent human settlement, some of humankind's most renowned historic structures came into view on the horizon, looking like a hallucination. This region was called Landmark Plateau.","She hoped she could reciprocate the love he had for her, but did not know how to do so. Following their trek over deserted territory far too harsh to allow a human community to thrive there, a group of some of the most celebrated historical buildings in human history appeared in the distance, resembling a psychedelic mirage. This place was referred to as Landmark Plateau.  ","She desired to return his deep affection but was at a loss regarding how. Subsequent to crossing over a desolate wilderness excessively barren for people to inhabit, various of humanity's most acclaimed ancient monuments materialized on the horizon, seeming an illusion. This location was termed Landmark Plateau.",A,small,0
11059,How_to_Sell_a_Haunted_House_-_Grady_Hendrix,"She never made it on Broadway, but shed come close. Finally, she heard Chicago had a good theater scene and less competition so she headed out there and met a guy who gave her the biggest part of her life: Mrs. Eric Joyner. Her dads family hated her, but that didnt stop her mom. She had so much energy, she had so much optimism, she had so much love for their dad that she made it work.","She was unsuccessful in becoming a Broadway performer, but almost achieved it. She decided to go to Chicago after hearing they had a vibrant theater community and less rivalry. There she encountered a man who gave her the most significant role of her life: Eric Joyner's wife. Her father's relatives detested her, but that did not deter her mother. She was so spirited, hopeful, and cared so deeply for their father that she made the relationship succeed.","She never starred on Broadway, but came very close. Eventually, she found out Chicago had a lively theater scene and less competition so went there. She met a man who gave her the most meaningful part ever: being Mrs. Eric Joyner. His family loathed her, but that did not stop her mom. She was so energetic, optimistic, and loved their dad so much she made it work out.","She failed to make it big on Broadway, but almost did. She decided to try her luck in Chicago after hearing the theater opportunities were plentiful and rivalry less intense. There she came across a man who offered her the biggest role of her life: being Eric Joyner's wife. His relatives despised her, but could not discourage her mother. She had tremendous vivacity, hopefulness, and affection for their father that she ensured the relationship thrived.",A,small,0
11696,The_Housekeepers_-_Alex_Hay,"He started coughing. A dark flash in her eyes. Did he? said Mrs. King. Yes. He couldnt speak. I thought the nurse would come; he was making such a racket. But you know how it is upstairs. You cant hear a thing when the doors are closed. The guests were helping themselves to cold cuts, to pieces of ham, to slices of tongue. They gave Miss de Vries sidelong looks, trying to identify Mrs.","He began hacking loudly. There was a sinister glint in her eyes. Had he really? questioned Mrs. King. Affirmative. He was unable to talk. I assumed the nurse would hurry over; he was causing such a disturbance. However, you're aware nothing can be heard upstairs when the doors are shut. The visitors were taking cold meats for themselves, pieces of ham, slices of tongue. They peered at Miss de Vries out of the corners of their eyes, attempting to determine who Mrs. was.","He started coughing noisily. A ominous gleam flashed in her eyes. Did that happen? asked Mrs. King. Yes, it did. He couldn't get any words out. I figured the nurse would come running; he was making such a racket. But as you know, you can't hear anything upstairs when the doors are closed. The guests were helping themselves to cold cuts, bits of ham, slices of tongue. They snuck looks at Miss de Vries, trying to work out who Mrs. was. ","He began hacking loudly. There was a sinister shine in her eyes. Had that occurred? questioned Mrs. King. Affirmative. He was unable to speak. I assumed the nurse would hurry over; he was causing such a disturbance. However, as you know, nothing can be heard upstairs when the doors are shut. The visitors were taking cold meats for themselves, pieces of ham, slices of tongue. They peered at Miss de Vries on the sly, attempting to determine the identity of Mrs.",A,small,0
15199,Love_Theoretically_-_Ali_Hazelwood,"Ive never felt like this. Im a Large Hadron Collider: atomic particles smash angrily about my body, building up the energy to burn Jack to a crisp. Or at least cook him well done. I cant remember the last time I experienced so many negative emotions. I should have known. I always had a bad feeling about him, and last nightthats why hes so good at Go. He was a physicist all along, thatthat piece of Uranus Science insult. Nice. I bet he thinks in Fahrenheit Ooh, sick burn. and spends his free time flying to Westminster Abbey to dance on Stephen Hawkings grave Hawkings dead? and wont even bother calling Greg to ask for an explanation, because hes a sadistic, egotistical, ignorant black hole of sh Elsie, babe, do you need us here for this, or should we go to our room to mourn Stephen? I stop pacing. Cece and Hedgie are staring, heads tilted at the same angle. Sorry, I say sheepishly. Not gonna lie, its kinda fun to see you soapbox it all out, geyser-style. Im sure there are some serious health benefits to this. But before you pull a machete out of your butt crack and begin the rampage, let me point out, this Smith-Turner dude? He cannot touch you. He may not be able to knee me in the groin or poison my tea with a vial of measles, but He also cannot interfere with your interview.","I have never experienced this intensity of emotion before. I feel like a Large Hadron Collider with atomic particles angrily colliding within me, generating enough fury to severely burn Jack. I cannot remember the last time I felt so negatively. I should have recognized the warning signs about him. I always had misgivings regarding his character, and after what transpired last night, it makes sense why he excels at Go. He was actually a physicist this whole time, that insult about Uranus Science now clicks. Clever. I bet he utilizes the Fahrenheit scale and dances on Stephen Hawking's grave in his spare time. He likely will not bother contacting Greg for an explanation due to his cruel, narcissistic, oblivious black hole of a personality. Elsie dear, do you require our presence for this outburst or shall we privately mourn Stephen? I halt my pacing. Cece and Hedgie are gazing at me, heads tilted identically. My apologies, I state embarrassedly. I cannot lie, it is somewhat entertaining to observe your eruption of emotions. I am certain there are health advantages to this release. However, before you extract a machete from your backside to commence a rampage, allow me to state that this Smith-Turner fellow cannot affect you. While he may be unable to assault my body or contaminate my tea, he also cannot interfere with your interview.","I have never experienced such intense emotions before. I feel similar to a Large Hadron Collider, with furious atomic particles crashing around inside me, generating sufficient fury to badly injure Jack. I cannot recollect the last occasion I felt so negatively. I ought to have identified the red flags regarding him. I always harbored doubts about his personality, and after what happened last night, it makes sense why he is so adept at Go. He was truly a physicist this whole time, that Uranus Science insult now is logical. Clever. I speculate he employs the Fahrenheit scale and dances on Stephen Hawking's grave in his spare time. He likely will not trouble himself to contact Greg for clarification due to his heartless, narcissistic, oblivious black hole of a character. Elsie dear, do you need us present for this outpouring or shall we privately grieve Stephen? I stop my pacing. Cece and Hedgie are looking at me, heads tilted the same. My apologies, I state self-consciously. I cannot lie, it is rather fascinating to observe your emotional eruption. I am sure there are health benefits to releasing this way. However, before you pull a machete from your backside to start a rampage, allow me to say that this Smith-Turner fellow cannot affect you. While he may be incapable of assaulting my body or poisoning my tea, he also cannot interfere with your interview.  ","I have never felt this intensely before. I am like a Large Hadron Collider with furious atomic particles violently colliding inside me, building enough fury to severely injure Jack. I cannot remember the last time I experienced such negativity. I ought to have spotted the warning signs regarding him. I always had misgivings about his personality, and after what happened last night, it makes sense why he excels at Go. He was truly a physicist this whole time, that Uranus Science insult now clicks. Clever. I bet he uses the Fahrenheit scale and dances on Stephen Hawking's grave in his free time. He likely will not bother contacting Greg for clarification due to his heartless, narcissistic, oblivious black hole of a personality. Elsie dear, do you need us here for this venting or shall we privately grieve Stephen? I stop pacing. Cece and Hedgie are staring at me, heads tilted identically. My apologies, I state embarrassedly. I cannot lie, it is rather entertaining to observe your emotional eruption. I am certain there are health benefits to releasing this way. However, before you pull a machete from your backside to start a rampage, allow me to state that this Smith-Turner fellow cannot affect you. While he may be incapable of harming my body or poisoning my tea, he also cannot interfere with your interview.",A,large,0
14543,After_Death_-_Dean_Koontz,"A dead man had returned to life, brought back among the living by the masters of the universe who search for those who are able to conquer fear and are worthy of being given superpowers. From the comic books that he reads and the cooler graphic novels that Gifford collects, Durand knows there are masters of the universe; they go by a variety of names in different series, and they work in mysterious ways. They are aware of him, have chosen him. The possibility that he has imagined all that happened occurs to him, but he dismisses it, allowing himself no doubt. And then he sleeps. Thus the game had begun. All these years later, it quickens toward an end. As at the beginning, the all-powerful masters of the universe require him to kill a dead man who returned to life. Thereafter, Durand Calaphas will win his way out of the game and into the next level, which his unshakable faith assures him is the highest and true reality, where he will become one of the masters. He has no doubts. Doubts are for losers. His quarry is moving toward the coast. And so he speeds south, in pursuit of the blinking signifier that is Michael Mace. He lives to kill and kills to live again, a product of the New Truth in which he does not believe any more than he believes in the old truth. A MOMENT ON THE EARTH As midnight fast approaches, robes of cloud slide northward down the sky, and in the clear high dark, stars map the universe beyond the silver moon.","A deceased man had come back to life, revived among the living by the universal rulers who search for those capable of overcoming fear and deserving of receiving supernatural abilities. From the graphic literature he peruses and the cooler illustrated books Gifford collects, Durand knows there are universal rulers; they go by various monikers in different series, and they operate in enigmatic ways. They are cognizant of him, have selected him. The possibility that he has envisioned everything that transpired comes to him, but he disregards it, permitting himself no uncertainty. And then he sleeps. Hence the game had begun. All these years later, it hastens toward a conclusion. As at the onset, the all-powerful universal rulers require him to kill a deceased man who returned to life. Thereafter, Durand Calaphas will earn his way out of the game and into the next level, which his unshakable faith reassures him is the highest and genuine reality, where he will become one of the rulers. He has no doubts. Doubts are for losers. His quarry is moving toward the coast. And so he speeds south, in pursuit of the blinking signifier that is Michael Mace. He lives to kill and kills to live again, a product of the New Truth in which he does not believe any more than he believes in the old truth. A MOMENT ON THE EARTH As midnight fast approaches, robes of cloud slide northward down the sky, and in the clear high dark, stars map the universe beyond the silver moon.","A dead individual had come back to existence, brought back among the alive by the masters of all that is who search for those capable of rising above terror and deserving of obtaining special abilities. From the pictorial tales he reads through and the cooler illustrated volumes Gifford collects, Durand knows there are masters of all; they go by different names in various series, and they work mysteriously. They know him, have chosen him. The idea that he has pictured everything that happened comes to him, but he ignores it, allowing himself no uncertainty. And then he rests. Hence the contest had begun. All these years later, it hastens toward a finish. As at first, the all-powerful masters of all require him to end a dead individual who returned to existence. After that, Durand Calaphas will succeed out of the contest and into the next stage, which his firm belief reassures him is the highest and real reality, where he will become one of the masters. He has no doubts. Doubts are for nonwinners. His target is moving toward the shore. And so he speeds south, chasing the blinking sign that is Michael Mace. He exists to end and ends to exist again, a result of the New Fact in which he does not believe any more than he believes in the old fact. A POINT IN TIME On the planet As midnight fast nears, robes of cloud slide northward down the sky, and in the clear high dark, stars chart the universe beyond the silver moon.","A lifeless man had come back to breathing, brought back among the animated by the controllers of everything who search for those able to rise above alarm and deserving of getting special capabilities. From the pictorial stories he flips through and the cooler illustrated volumes Gifford collects, Durand knows there are controllers of everything; they go by different handles in various series, and they work mysteriously. They know him, have selected him. The concept that he has pictured everything that transpired comes to him, but he disregards it, allowing himself no uncertainty. And then he rests. Hence the competition had begun. All these years later, it hastens toward a close. As at first, the all-powerful controllers of everything require him to end a lifeless man who returned to breathing. Afterward, Durand Calaphas will succeed out of the competition and into the next stage, which his firm belief reassures him is the highest and real reality, where he will become one of the controllers. He has no doubts. Doubts are for nonwinners. His target is moving toward the shoreline. And so he speeds south, chasing the blinking sign that is Michael Mace. He exists to end and ends to exist again, a result of the New Fact in which he does not believe any more than he believes in the old fact. A TIME On the planet As midnight fast approaches, robes of cloud slide northward down the sky, and in the clear high dark, stars chart the universe beyond the silver moon.",A,large,0
13615,The_Fake_Mate_-_Lana_Ferguson,"The sound makes Mackenzie pause further up, and I skid in the snow only a dozen or so paces from her as I catch my breath. I can see in her eyes a glimpse of that need they held earlier, see a spark of the human part of her practically begging me to come take her. I hear a rustling behind us that makes me turn with a growl, tearing my eyes from Mackenzie to warn whatever intruder might be stalking us, only to find a bird taking flight up into the trees. I snort in irritation as I turn back, noticing Mackenzie is nowhere to be found as a flicker of panic pulses inside me. ","The noise causes Mackenzie to stop ahead, and I slide in the snow just a few strides away as I gasp for air. I notice a glint of yearning in her eyes, like the human part of her is pleading for me to come and take her. I hear rustling behind that makes me spin around with a snarl, ripping my gaze from Mackenzie to caution any prowler who might be tracking us, just to see a bird flying up into the trees. I snort in annoyance as I turn back, seeing Mackenzie has vanished as a flicker of alarm beats within me.","The sound prompts Mackenzie to halt further along, and I skid to a stop in the snow merely a dozen paces or so from her as I catch my breath. I glimpse a spark of longing in her eyes, a hint of the human side of her practically begging me to come claim her. I hear shuffling behind that causes me to whirl around with a growl, tearing my stare from Mackenzie to warn any intruder who may be stalking us, only to find a bird taking off into the trees. I snort in irritation as I turn back, noticing Mackenzie has disappeared as a pulse of panic stirs inside me.  ","The noise makes Mackenzie pause ahead, and I slide to a stop in the snow just a few strides away as I gasp for air. I see a glimmer of need in her eyes, a glimpse of the human part of her practically pleading for me to come take her. I hear rustling behind that causes me to spin around with a snarl, ripping my gaze from Mackenzie to caution any intruder who might be tracking us, just to find a bird flying up into the trees. I snort in frustration as I turn back, seeing Mackenzie has vanished as a flicker of alarm beats within me.",A,medium,0
12596,Blowback_-_James_Patterson,"A few days later, I went to an event with a mix of national security officials. The outdoor bar near the White House was the same one where Id persuaded a reporter the month before that there was an Axis of Adults inside the Trump administration. Incidentally, one of those AdultsTom Bossertrang my phone while I was sipping a cocktail. The homeland security advisor wanted to give me a heads-up. When President Trump met with the Russians in the Oval Office days earlier, he apparently had chatted them up about the great intelligence he was getting and shared sensitive details with them about an ISIS terror plot.","A couple days after, I attended a function with various national security personnel. The outdoor bar close to the White House was the same one where I had convinced a journalist the prior month that there was a group of mature, reasonable people inside the Trump presidency. Coincidentally, one of those level-headed people, Tom Bossert, called me while I was drinking a cocktail. The homeland security advisor wanted to give me advance notice. When President Trump had met with the Russians in the Oval Office earlier, he had apparently talked to them eagerly about the excellent intelligence he was receiving and shared sensitive information with them regarding an ISIS terror plan.","A few days later, I went to a gathering with an assortment of national security officials. The outdoor bar near the White House was the same one I had persuaded a reporter the previous month that there were responsible adults inside the Trump administration. By chance, one of those responsible adults, Tom Bossert, called me while I was having a cocktail. The homeland security advisor wanted to give me a preview. When President Trump met with the Russians in the Oval Office previously, he had apparently chatted with them excitedly about the great intelligence he was getting and shared sensitive details with them about an ISIS terror plot.","Some days after, I attended an event with various national security people. The outdoor bar close to the White House was the same one where I had convinced a journalist the month before that there were mature, sensible people within the Trump administration. By happenstance, one of those mature, sensible people, Tom Bossert, telephoned me while I was drinking a cocktail. The homeland security advisor wanted to give me advance notice. When President Trump had met with the Russians in the Oval Office prior, he had apparently spoken to them eagerly about the fantastic intelligence he was receiving and shared sensitive information with them regarding an ISIS terror scheme.",A,medium,0
14967,Highly_Suspicious_-_Talia_Hibbert,"Coach, whos been frozen in confusion since opening the door, springs into action. Hold on there, young lady, she orders, kneeling and taking Celines wrist in her hand. Oh dear. She shakes her head, blond ponytail swinging. My stomach drops. What? Whats happened? Coach gently presses Celines wrist. Does that hurt? Her reply is a stifled squeak. And this? A nod. Mr. Gallagher, who is small and twitchy and pink, peers over Coachs shoulder. Hmm. I think a trip to Student Support may be in order. What? I repeat. You only go to Student Support if youre having a total breakdown or if youre sick and you need them to call your parents. Whats wrong? Ill take her No, Celine says, so quick and sharp Im almost hurt for a second, before I remember that I dont like her, and she doesnt like me, and we are enemies. Coach gives me a grim look as she helps Celine to her feet. Ill take her. Brad, tell the team Im going to be late for practice. Yes, Coach. Oh, wait a minute. Um, actually, me and Celine were supposed to stay here and do some work for Mr. Taylor? Well, Celine wont be doing any work this afternoon, so you can run and let him know about that too. She puts an arm around Celine, and they head for the stairs. Mr. Gallagher follows behind them. I run my hands over my hair.","The coach, who has been frozen in confusion since opening the door, leaps into action. Wait right there, young lady, she commands, dropping to her knees and taking hold of Celine's wrist. She shakes her head, blonde ponytail swaying. My stomach sinks. What's going on? The coach gently squeezes Celine's wrist. Does that cause you pain? Celine's stifled squeak is her reply. And this? Celine nods. Mr. Gallagher, who is small, twitchy, and flushed, looks over the coach's shoulder. I believe a visit to Student Support may be necessary. What? I repeat. You only go there if you are having a breakdown or are ill. What's the issue? I'll escort her. No, Celine states sharply, almost hurting me for a moment before I recall we are rivals. The coach gives me a grave expression as she assists Celine up. I will take her. Brad, notify the team I'll be late for practice. Yes coach. Oh wait, Celine and I were supposed to complete some work for Mr. Taylor. Well, Celine will not be working this afternoon, so inform him of that too. She supports Celine as they head for the stairs, Mr. Gallagher trailing behind. I run my hands through my hair.","The coach, frozen since opening the door, acts quickly. Wait there, young lady, she instructs, kneeling and grasping Celine's wrist. She shakes her head, blonde ponytail swaying. My stomach drops anxiously. What's happened? The coach gently squeezes Celine's wrist. Any pain? A stifled squeak replies. And with this? A nod. Mr. Gallagher, small, twitchy, and flushed, looks over the coach's shoulder. Student Support may be needed, I believe. What? I ask again. You only go there for breakdowns or illness. What's the problem? I'll take her. No, Celine states sharply, nearly wounding me temporarily before I recall we're adversaries. The coach gives me a serious look as she helps Celine stand. I will escort her. Brad, inform the team I'll be late for practice. Yes coach. Oh wait, Celine and I had work with Mr. Taylor. Well, Celine won't work this afternoon, so also update him. She assists Celine towards the stairs, Mr. Gallagher following. I run my hands through my hair anxiously.  ","The coach, frozen since opening the door, acts swiftly. Halt there, young lady, she directs, kneeling and seizing Celine's wrist. She shakes her head, blonde ponytail swaying. My stomach sinks worriedly. What's transpired? The coach gently squeezes Celine's wrist. Any discomfort? A muffled squeak is the reply. And here? A nod. Mr. Gallagher, small, twitchy, and florid, peers over the coach's shoulder. Student Support may be necessitated, I surmise. What? I query again. That's only for breakdowns or sickness. What's the dilemma? I'll escort her. No, Celine states sharply, nearly wounding me momentarily before I recollect we are foes. The coach gives me a grave look as she assists Celine to stand. I will take her. Brad, notify the team I'll be late for practice. Yes coach. Oh wait, Celine and I had work with Mr. Taylor. Well, Celine won't work this afternoon, so also inform him. She supports Celine towards the stairs, Mr. Gallagher in tow. I run my hands through my hair worriedly.",A,large,0
10785,Divine_Rivals_-_Rebecca_Ross,"Is there any chance of a third, do you think? Perhaps. But itll come with a fee. Ill pay whatever you want. He stopped typing to look at her. Tell me your price. Iris bit her lip, wondering what she should ask for. Are you sure about that, Kitt? What if I want you to wash my laundry for the rest of the war?","Do you believe a third attempt is plausible? Possibly. However, there will be a cost involved. I'm willing to pay any amount you request. Kitt paused his typing to look directly at Iris. Inform me of the price you desire. Iris nibbled on her lip, contemplating what amount she should request. Are you certain about that offer, Kitt? What if my request is for you to clean my clothes for the remainder of the war?","Is a third try feasible in your opinion? There's a chance. But you'll need to pay extra. Name your price and I'll pay it. He stopped typing to make eye contact with her. Tell me how much you want. She bit her lip, thinking about what to ask for. Are you sure you want to agree to that, Kitt? What if I say you have to do my laundry for the rest of the war?","Do you think a third attempt could happen? Maybe. However, there would be an additional fee. I will pay any amount you want. Kitt halted his typing to look at Iris. Inform me of your desired payment. Iris chewed on her lip, considering what price she should request. Are you certain about that offer, Kitt? What if I demand you clean my clothes for the rest of the war?",A,small,0
11569,The_Darkness_Before_Them_-_Matthew_Ward,"Ex-custodian Bashar Vallant had been a thorn in Countess Bascari’s side Kat’s whole life. His brigands – or rebels, depending on who you asked – mostly prowled between Tyzanta’s southern holdings and the line of torch houses that repelled the Veil’s hungry mists at the kingdom’s border. At word of his death, Undertown folk had drunk themselves insensible in mourning, the nobility out of unbridled joy.","The former janitor Bashar Vallant had been a constant nuisance to Countess Bascari during Kat's entire life. His bandits - or revolutionaries, based on perspective - mostly roamed between Tyzanta's southern areas and the row of beacons that held back the Veil's ravenous fogs at the realm's edge. When news spread of his passing, the common people in Undertown had drunk themselves unconscious in grief, while the aristocracy did so out of unrestrained elation.","The ex-caretaker Bashar Vallant had been an endless bother to Countess Bascari for as long as Kat could remember. His gang - or freedom fighters, depending on opinion - largely prowled between Tyzanta's southern holdings and the line of fire towers that kept the Veil's hungry mists out at the kingdom's perimeter. Upon hearing of his death, the citizens of Undertown had consumed alcohol until senseless in mourning, whereas the nobles had done the same out of sheer joy. ","The former custodian Bashar Vallant had been a constant pain to Countess Bascari over Kat's whole life. His brigands - or insurgents, based on perspective - mostly patrolled between Tyzanta's southern territories and the array of beacons that repelled the Veil's ravenous fog at the kingdom's border. When word of his passing spread, the common folk in Undertown had drunk themselves unconscious in sorrow, while the aristocrats did the same out of pure elation.",A,small,0
